,name,business_status,rating,user_ratings_total,formatted_address,vicinity,formatted_phone_number,website,opening_hours.open_now,types,price_level,icon,place_id,id,reference,icon
19,Shelter Island House,OPERATIONAL,4.4,50.0,"11 Stearns Point Rd, Shelter Island Heights, NY 11965, USA","11 Stearns Point Road, Shelter Island Heights",(631) 749-1633,https://www.shelterislandhouse.com/,True,"['lodging', 'bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJp8cw4-2Y6IkR7iWhs7oNVEI,dfc84c825cf96a6e2ba75138022cd2344ba07c6e,ChIJp8cw4-2Y6IkR7iWhs7oNVEI,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
20,Sag Harbor Inn,OPERATIONAL,4.4,51.0,"45 W Water St, Sag Harbor, NY 11963, USA","45 West Water Street, Sag Harbor",(631) 725-2949,https://www.sagharborinn.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJ8X2YWjm96IkRxYXHB4_a3g4,220f4c346ff4e3dfc0c7a2fdc0fcda8923b74297,ChIJ8X2YWjm96IkRxYXHB4_a3g4,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
21,A Walk in the Woods Bed and Breakfast,OPERATIONAL,4.4,19.0,"9680 N Bayview Rd, Southold, NY 11971, USA","9680 North Bayview Road, Southold",(631) 765-9197,http://www.walkinthewoodsbnb.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJP-lqbMOZ6IkRamB_qfsRSqg,bfb0563d3d3da6f98fbcd1da2c7e439398996759,ChIJP-lqbMOZ6IkRamB_qfsRSqg,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
22,Mill House Inn,OPERATIONAL,4.4,42.0,"31 N Main St, East Hampton, NY 11937, USA","31 North Main Street, East Hampton",(631) 324-9766,http://www.millhouseinn.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJCXyjtPy66IkR0tJwjM3VxmQ,87e910286777c765f9a9eba4daedfebe44339880,ChIJCXyjtPy66IkR0tJwjM3VxmQ,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
23,Ram's Head Inn,OPERATIONAL,4.5,93.0,"108 S Ram Island Dr, Shelter Island Heights, NY 11965, USA","108 South Ram Island Drive, Shelter Island Heights",(631) 749-0811,http://www.theramsheadinn.com/,True,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",3.0,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJT6GSZzCi6IkR6Jx6b4DUpNs,147e2ccd88094b13b80c02a43cc5df0489bb7c56,ChIJT6GSZzCi6IkR6Jx6b4DUpNs,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
24,East Hampton,OPERATIONAL,4.5,31.0,"105 Oakview Hwy, East Hampton, NY 11937, USA","105 Oakview Highway, East Hampton",(631) 324-1643,https://bayshorehomesales.com/,,"['rv_park', 'lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJYX9NAiC76IkReXMG82GUGwE,351c2cb9d4278e9d90290a55ea9c9a57192ef969,ChIJYX9NAiC76IkReXMG82GUGwE,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
25,A Room at the Beach,OPERATIONAL,4.6,22.0,"2668 Montauk Hwy, Bridgehampton, NY 11932, USA","2668 Montauk Highway, Bridgehampton",(631) 899-4006,http://iwantaroomatthebeach.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJrVd2w1e96IkRpXrhJRE3bkM,f619fc26d7506bd981c3413c5043a8193ec80182,ChIJrVd2w1e96IkRpXrhJRE3bkM,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
26,American Hotel,OPERATIONAL,4.6,225.0,"45 Main St #3012, Sag Harbor, NY 11963, USA","45 Main Street #3012, Sag Harbor",(631) 725-3535,http://www.theamericanhotel.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJbf5hKSW96IkRGXfe61M1hAU,b2c97091979f7e1ee5fd618b6dbbde256daca11c,ChIJbf5hKSW96IkRGXfe61M1hAU,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
27,The Huntting Inn,OPERATIONAL,4.6,190.0,"94 Main St Suite 1800, East Hampton, NY 11937, USA","94 Main Street Suite 1800, East Hampton",(631) 324-0411,https://thepalm.com/restaurants/east-hampton/,True,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJnSNZ3_266IkRPmxhCT3swAk,d4371c42e0f91364324ef3d5519b8e4507720035,ChIJnSNZ3_266IkRPmxhCT3swAk,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
28,The Baker House 1650,OPERATIONAL,4.7,34.0,"181 Main St, East Hampton, NY 11937, USA","181 Main Street, East Hampton",(631) 324-4081,https://www.bakerhouse1650.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJAblvb6q76IkRlv7_QO6OaZg,82cc21bd28b47aceb669dc2be6311e47a26aaf46,ChIJAblvb6q76IkRlv7_QO6OaZg,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
29,1770 House Restaurant & Inn,OPERATIONAL,4.7,141.0,"143 Main St, East Hampton, NY 11937, USA","143 Main Street, East Hampton",(631) 324-1770,http://www.1770house.com/,False,"['lodging', 'restaurant', 'food', 'point_of_interest', 'establishment']",4.0,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJ3X8tQQC76IkRn9d3pJf8zoU,26f20bd99cc807c51dfe805a0a6cce811b8ccf30,ChIJ3X8tQQC76IkRn9d3pJf8zoU,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
30,The Hedges Inn,OPERATIONAL,4.8,38.0,"74 James Ln, East Hampton, NY 11937, USA","74 James Lane, East Hampton",(631) 324-7101,https://www.thehedgesinn.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJUYSTdqy76IkRkKk-iq2qWHE,e34e0f907cb7deeac03fa1dec27f22333880e9d3,ChIJUYSTdqy76IkRkKk-iq2qWHE,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
31,White Fences Inn,OPERATIONAL,4.8,23.0,"371 Montauk Hwy, Water Mill, NY 11976, USA","371 Montauk Highway, Water Mill",(631) 500-9013,http://www.whitefenceswatermill.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJY6mf2wmV6IkRueGSkQcxw7o,4914c6331af9825b637fc828e3ce069659499480,ChIJY6mf2wmV6IkRueGSkQcxw7o,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
32,The Inn at Baron's Cove,OPERATIONAL,4.8,4.0,"31 W Water St, Sag Harbor, NY 11963, USA","31 West Water Street, Sag Harbor",(631) 725-2100,http://www.baronscove.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJXwO83Tu96IkRKVmULcAWRSY,7a9b3e90e95a1d80b0d98b0558680810d0fd72c1,ChIJXwO83Tu96IkRKVmULcAWRSY,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
33,Sea Breeze Inn,OPERATIONAL,4.8,5.0,"30 Atlantic Ave, Amagansett, NY 11930, USA","30 Atlantic Avenue, Amagansett",(631) 267-3692,,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJmQvOnA-w6IkR59pX_GQ-uVs,b109f067cb3a6bd920703e260f071e2076c9ed9a,ChIJmQvOnA-w6IkR59pX_GQ-uVs,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
34,Southampton Village Motel,OPERATIONAL,4.9,13.0,"315 NY-27A, Southampton, NY 11968, USA","315 New York 27A, Southampton",(631) 283-3034,http://www.southamptonvillagemotel.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJkyB7U-CU6IkRuyxO-dscyX4,08230034c4ee9cb6836b73485e440d4c0f30abb5,ChIJkyB7U-CU6IkRuyxO-dscyX4,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
35,The 1708 House,OPERATIONAL,4.9,15.0,"126 Main St, Southampton, NY 11968, USA","126 Main Street, Southampton",(631) 287-1708,http://www.1708house.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJd00BxdyU6IkRXow927EE9iU,85b71339ca8a265cdd989f53901539f39c7d70e4,ChIJd00BxdyU6IkRXow927EE9iU,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
36,A Butler's Manor,OPERATIONAL,4.9,42.0,"244 N Main St, Southampton, NY 11968, USA","244 North Main Street, Southampton",(631) 283-8550,https://www.abutlersmanor.com/?utm_source=google&utm_medium=GMB,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJe2LSq-iU6IkRdHDMyreK6vk,a6bbf39c1d58641f72f2d8deb520bfbb2d16af96,ChIJe2LSq-iU6IkRdHDMyreK6vk,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
37,Two South Ferry B&B,OPERATIONAL,4.9,7.0,"2 S Ferry Rd, Shelter Island, NY 11964, USA","2 South Ferry Road, Shelter Island",(631) 749-3208,https://www.twosouthferrybandb.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJKZEQmoKY6IkR5kEgKTr5NI4,71d38b6e04e32043e58ca9b7fba148da17a6b8f9,ChIJKZEQmoKY6IkR5kEgKTr5NI4,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
38,The Reform Club,OPERATIONAL,4.9,7.0,"23 Windmill Ln, Amagansett, NY 11930, USA","23 Windmill Lane, Amagansett",(631) 267-8500,https://www.reformclubamagansett.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJXUcJ1Ka66IkRcs4ctzWvdXE,11d7e6595f38dedcbc8eb0d86e0ce57989c10403,ChIJXUcJ1Ka66IkRcs4ctzWvdXE,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
39,Hayground Camp,OPERATIONAL,4.9,10.0,"151 Mitchell Ln, Bridgehampton, NY 11932, USA","151 Mitchell Lane, Bridgehampton",(631) 537-5188,http://hayground.org/,,"['campground', 'lodging', 'park', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png,ChIJP0e-U_e96IkR9E7eBDk9rOA,58ef309a8309ef37f0b35a5f45bab17af674f807,ChIJP0e-U_e96IkR9E7eBDk9rOA,https://maps.gstatic.com/mapfiles/place_api/icons/camping-71.png
40,Seven - A Boutique B&B Hotel on Shelter Island (Shelter Island Rental Regristration #19W-0007),OPERATIONAL,4.9,25.0,"7 Stearns Point Rd, Shelter Island Heights, NY 11965, USA","7 Stearns Point Road, Shelter Island Heights",(347) 326-3259,http://www.sevenonshelter.com/,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJofapC-6Y6IkRbLPPrCAOkIU,8915f1875159b3f159024b4c74465ceb2ef08061,ChIJofapC-6Y6IkRbLPPrCAOkIU,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
41,Shelter Island Hideaway - Hamptons Vacation Beach Rental 4 Bedr House + Cottage,OPERATIONAL,5.0,3.0,"1 Brander Pkwy, Shelter Island, NY 11964, USA","1 Brander Parkway, Shelter Island",(631) 749-6206,http://www.shelterislandhideaway.com/,True,"['real_estate_agency', 'travel_agency', 'lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJNSLp3lCY6IkRGDHFLgx2pqM,2f280b7562db8a3418a71b647eaee213b39f67d4,ChIJNSLp3lCY6IkRGDHFLgx2pqM,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png
42,Sunset Cove Cottages,OPERATIONAL,5.0,1.0,"16 Mudford Ave, East Hampton, NY 11937, USA","16 Mudford Avenue, East Hampton",(631) 329-1431,,True,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJVVUx8Ael6IkRkUYBb9kzgSQ,ef4aff5e8cbff2e8871bab131ef9148daf8d5b9a,ChIJVVUx8Ael6IkRkUYBb9kzgSQ,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
43,Getaway House,OPERATIONAL,5.0,1.0,"4 Neighborhood House Dr, East Hampton, NY 11937, USA","4 Neighborhood House Drive, East Hampton",(631) 324-4622,,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJe9OTaNy66IkRsW3cGBBLGrQ,49806afbf010d6991b99c163cd69c0ea1146a471,ChIJe9OTaNy66IkRsW3cGBBLGrQ,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
44,Shared Table Farmhouse,OPERATIONAL,5.0,3.0,"425 Jacobs Ln, Southold, NY 11971, USA","425 Jacobs Lane, Southold",,http://www.sharedtablefarm.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJof0i5-SZ6IkRKu47R_r3hOk,dd234494fc8ce6908c235b5360b86bee17c63e33,ChIJof0i5-SZ6IkRKu47R_r3hOk,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
45,Carols Quiet Spot,OPERATIONAL,5.0,3.0,"576 Majors Path, Southampton, NY 11968, USA","576 Majors Path, Southampton",(631) 283-3725,http://www.carolsquietspots.com/,,"['lodging', 'hair_care', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJ2fkC5V-U6IkR8iuYSAuUSNA,bc431acc730d7582a9cbed4fc3ebe3490910289f,ChIJ2fkC5V-U6IkR8iuYSAuUSNA,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
46,The Pondview,OPERATIONAL,5.0,3.0,"1332 Deerfield Rd, Water Mill, NY 11976, USA","1332 Deerfield Road, Water Mill",(631) 726-7226,https://www.thepondview.com/,,"['travel_agency', 'lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJI-M2ttCV6IkRQLrP7L4Jloo,9b943a6c585338c03becb3d89e5f6c524417ab34,ChIJI-M2ttCV6IkRQLrP7L4Jloo,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
47,Nest Seekers,OPERATIONAL,5.0,2.0,"20 Main St, Southampton, NY 11968, USA","20 Main Street, Southampton",(631) 287-9260,https://www.nestseekers.com/,True,"['real_estate_agency', 'lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJ0TrhlFLx6IkRvCbmfsUxgH8,0e78466c8752b1bfa02eab8998436771fa1617b9,ChIJ0TrhlFLx6IkRvCbmfsUxgH8,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png
48,East Hampton Colonial Inn,OPERATIONAL,,,"108 Montauk Hwy, East Hampton, NY 11937, USA","108 Montauk Highway, East Hampton",(516) 971-9650,http://easthamptoncolonialinn.com/,,"['lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png,ChIJU94Yepi76IkRunaZog6gPO4,b4969f07d16806a298b5f7a742d017f51612e2a3,ChIJU94Yepi76IkRunaZog6gPO4,https://maps.gstatic.com/mapfiles/place_api/icons/lodging-71.png
49,1800flyfirstclass,OPERATIONAL,,,"81 Newtown Ln, East Hampton, NY 11937, USA","81 Newtown Lane, East Hampton",(800) 653-0536,,,"['travel_agency', 'lodging', 'point_of_interest', 'establishment']",,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png,ChIJYZo9gQK76IkRI1G0oZZI4ro,eafd4e5c45934b85c17dc00a03be1654feafc729,ChIJYZo9gQK76IkRI1G0oZZI4ro,https://maps.gstatic.com/mapfiles/place_api/icons/generic_business-71.png
